USER_AGENT,http_user_agent
10000000,Internet Explorer
10000001,Internet Explorer
10003000,Internet Explorer 3
10003001,Internet Explorer 3
10004000,Internet Explorer 4
10004001,Internet Explorer 4
10005000,Internet Explorer 5
10005001,Internet Explorer 5
10006000,Internet Explorer 6
10006001,Internet Explorer 6
10007000,Internet Explorer 7
10007001,Internet Explorer 7
10008000,Internet Explorer 8
10008001,Internet Explorer 8
10008010,Internet Explorer 8
10009000,Internet Explorer 9
10009001,Internet Explorer 9
10009010,Internet Explorer 9
10010000,Internet Explorer 10
10010001,Internet Explorer 10
10010003,Internet Explorer 10
10010010,Internet Explorer 10
10010100,Internet Explorer 10
10010101,Internet Explorer 10
10010103,Internet Explorer 10
10010110,Internet Explorer 10
10010011,Internet Explorer 10
10010111,Internet Explorer 10
10010113,Internet Explorer 10
10011000,Internet Explorer 11
10011001,Internet Explorer 11
10011003,Internet Explorer 11
10011010,Internet Explorer 11
10011100,Internet Explorer 11
10011101,Internet Explorer 11
10011103,Internet Explorer 11
10011110,Internet Explorer 11
10011011,Internet Explorer 11
10011111,Internet Explorer 11
10011113,Internet Explorer 11
10012000,Internet Explorer 12
10012001,Internet Explorer 12
10012003,Internet Explorer 12
10012010,Internet Explorer 12
10012100,Internet Explorer 12
10012101,Internet Explorer 12
10012103,Internet Explorer 12
10012110,Internet Explorer 12
10012011,Internet Explorer 12
10012111,Internet Explorer 12
10012113,Internet Explorer 12
10013000,Internet Explorer 13
10013001,Internet Explorer 13
10013003,Internet Explorer 13
10013010,Internet Explorer 13
10013100,Internet Explorer 13
10013101,Internet Explorer 13
10013103,Internet Explorer 13
10013110,Internet Explorer 13
10013011,Internet Explorer 13
10013111,Internet Explorer 13
10013113,Internet Explorer 13
11000000,Firefox
11000001,Firefox
11000002,Firefox
11000003,Firefox
11001000,Firefox 1
11002000,Firefox 2
11003000,Firefox 3
11004000,Firefox 4
11005000,Firefox 5
11006000,Firefox 6
11007000,Firefox 7
11008000,Firefox 8
11008001,Firefox 8
11008002,Firefox 8
11008003,Firefox 8
11009000,Firefox 9
11009001,Firefox 9
11009002,Firefox 9
11009003,Firefox 9
11010000,Firefox 10
11010001,Firefox 10
11010002,Firefox 10
11010003,Firefox 10
11011000,Firefox 11
11011001,Firefox 11
11011002,Firefox 11
11011003,Firefox 11
11012000,Firefox 12
11012001,Firefox 12
11012002,Firefox 12
11012003,Firefox 12
11013000,Firefox 13
11013001,Firefox 13
11013002,Firefox 13
11013003,Firefox 13
11014000,Firefox 14
11014001,Firefox 14
11014002,Firefox 14
11014003,Firefox 14
11015000,Firefox 15
11015001,Firefox 15
11015002,Firefox 15
11015003,Firefox 15
11016000,Firefox 16
11016001,Firefox 16
11016002,Firefox 16
11016003,Firefox 16
11017000,Firefox 17
11017001,Firefox 17
11017002,Firefox 17
11017003,Firefox 17
11018000,Firefox 18
11018001,Firefox 18
11018002,Firefox 18
11018003,Firefox 18
11019000,Firefox 19
11019001,Firefox 19
11019002,Firefox 19
11019003,Firefox 19
11020000,Firefox 20
11020001,Firefox 20
11020002,Firefox 20
11020003,Firefox 20
11021000,Firefox 21
11021001,Firefox 21
11021002,Firefox 21
11021003,Firefox 21
11022000,Firefox 22
11022001,Firefox 22
11022002,Firefox 22
11022003,Firefox 22
11023000,Firefox 23
11023001,Firefox 23
11023002,Firefox 23
11023003,Firefox 23
11024000,Firefox 24
11024001,Firefox 24
11024002,Firefox 24
11024003,Firefox 24
11025000,Firefox 25
11025001,Firefox 25
11025002,Firefox 25
11025003,Firefox 25
11026000,Firefox 26
11026001,Firefox 26
11026002,Firefox 26
11026003,Firefox 26
11027000,Firefox 27
11027001,Firefox 27
11027002,Firefox 27
11027003,Firefox 27
11028000,Firefox 28
11028001,Firefox 28
11028002,Firefox 28
11028003,Firefox 28
11029000,Firefox 29
11029001,Firefox 29
11029002,Firefox 29
11029003,Firefox 29
11030000,Firefox 30
11030001,Firefox 30
11030002,Firefox 30
11030003,Firefox 30
11031000,Firefox 31
11031001,Firefox 31
11031002,Firefox 31
11031003,Firefox 31
11032000,Firefox 32
11032001,Firefox 32
11032002,Firefox 32
11032003,Firefox 32
11033000,Firefox 33
11033001,Firefox 33
11033002,Firefox 33
11033003,Firefox 33
11034000,Firefox 34
11034001,Firefox 34
11034002,Firefox 34
11034003,Firefox 34
11035000,Firefox 35
11035001,Firefox 35
11035002,Firefox 35
11035003,Firefox 35
13000000,Chrome
13000001,Chrome
13010000,Chrome 10
13010001,Chrome 10
13011000,Chrome 11
13011001,Chrome 11
13012000,Chrome 12
13012001,Chrome 12
13013000,Chrome 13
13013001,Chrome 13
13014000,Chrome 14
13014001,Chrome 14
13015000,Chrome 15
13015001,Chrome 15
13016000,Chrome 16
13016001,Chrome 16
13017000,Chrome 17
13017001,Chrome 17
13018000,Chrome 18
13018001,Chrome 18
13019000,Chrome 19
13019001,Chrome 19
13020000,Chrome 20
13020001,Chrome 20
13021000,Chrome 21
13021001,Chrome 21
13022000,Chrome 22
13022001,Chrome 22
13023000,Chrome 23
13023001,Chrome 23
13024000,Chrome 24
13024001,Chrome 24
13025000,Chrome 25
13025001,Chrome 25
13026000,Chrome 26
13026001,Chrome 26
13027000,Chrome 27
13027001,Chrome 27
13028000,Chrome 28
13028001,Chrome 28
13029000,Chrome 29
13029001,Chrome 29
13030000,Chrome 30
13030001,Chrome 30
13030003,Chrome 30
13031000,Chrome 31
13031001,Chrome 31
13031003,Chrome 31
13032000,Chrome 32
13032001,Chrome 32
13032003,Chrome 32
13033000,Chrome 33
13033001,Chrome 33
13033003,Chrome 33
13034000,Chrome 34
13034001,Chrome 34
13034003,Chrome 34
13035000,Chrome 35
13035001,Chrome 35
13035003,Chrome 35
13036000,Chrome 36
13036001,Chrome 36
13036003,Chrome 36
13037000,Chrome 37
13037001,Chrome 37
13037003,Chrome 37
13038000,Chrome 38
13038001,Chrome 38
13038003,Chrome 38
13039000,Chrome 39
13039001,Chrome 39
13039003,Chrome 39
13040000,Chrome 40
13040001,Chrome 40
13040003,Chrome 40
13041000,Chrome 41
13041001,Chrome 41
13041003,Chrome 41
13042000,Chrome 42
13042001,Chrome 42
13042003,Chrome 42
13043000,Chrome 43
13043001,Chrome 43
13043003,Chrome 43
13044000,Chrome 44
13044001,Chrome 44
13044003,Chrome 44
13045000,Chrome 45
13045001,Chrome 45
13045003,Chrome 45
13046000,Chrome 46
13046001,Chrome 46
13046003,Chrome 46
13047000,Chrome 47
13047001,Chrome 47
13047003,Chrome 47
13048000,Chrome 48
13048001,Chrome 48
13048003,Chrome 48
13049000,Chrome 49
13049001,Chrome 49
13049003,Chrome 49
13050000,Chrome 50
13050001,Chrome 50
13050003,Chrome 50
13051000,Chrome 51
13051001,Chrome 51
13051003,Chrome 51
13052000,Chrome 52
13052001,Chrome 52
13052003,Chrome 52
13053000,Chrome 53
13053001,Chrome 53
13053003,Chrome 53
13054000,Chrome 54
13054001,Chrome 54
13054003,Chrome 54
13055000,Chrome 55
13055001,Chrome 55
13055003,Chrome 55
13056000,Chrome 56
13056001,Chrome 56
13056003,Chrome 56
13057000,Chrome 57
13057001,Chrome 57
13057003,Chrome 57
13058000,Chrome 58
13058001,Chrome 58
13058003,Chrome 58
14000000,Safari
14000001,Safari
14000002,Safari
14000003,Safari
14000004,Safari
14002000,Safari 2
14002001,Safari 2
14002002,Safari 2
14002003,Safari 2
14002004,Safari 2
14003000,Safari 3
14003001,Safari 3
14003002,Safari 3
14003003,Safari 3
14003004,Safari 3
14004000,Safari 4
14004001,Safari 4
14004002,Safari 4
14004003,Safari 4
14004004,Safari 4
14005000,Safari 5
14005001,Safari 5
14005002,Safari 5
14005003,Safari 5
14005004,Safari 5
14006000,Safari 6
14006001,Safari 6
14006002,Safari 6
14006003,Safari 6
14006004,Safari 6
14007000,Safari 7
14007001,Safari 7
14007002,Safari 7
14007003,Safari 7
14007004,Safari 7
14008000,Safari 8
14008001,Safari 8
14008002,Safari 8
14008003,Safari 8
14008004,Safari 8
14009000,Safari 9
14009001,Safari 9
14009002,Safari 9
14009003,Safari 9
14009004,Safari 9
14010000,Safari 10
14010001,Safari 10
14010002,Safari 10
14010003,Safari 10
14010004,Safari 10
14011000,Safari 11
14011001,Safari 11
14011002,Safari 11
14011003,Safari 11
14011004,Safari 11
14012000,Safari 12
14012001,Safari 12
14012002,Safari 12
14012003,Safari 12
14012004,Safari 12
15000000,Opera
15000001,Opera
15000006,Opera
15005000,Opera 5
15005001,Opera 5
15005006,Opera 5
15006000,Opera 6
15006001,Opera 6
15006006,Opera 6
15007000,Opera 7
15007001,Opera 7
15007006,Opera 7
15008000,Opera 8
15008001,Opera 8
15008006,Opera 8
15009000,Opera 9
15009001,Opera 9
15009006,Opera 9
15010000,Opera 10
15010001,Opera 10
15010006,Opera 10
15011000,Opera 11
15011001,Opera 11
15011006,Opera 11
15012000,Opera 12
15012001,Opera 12
15012006,Opera 12
15013000,Opera 13
15013001,Opera 13
15013006,Opera 13
15014000,Opera 14
15014001,Opera 14
15014006,Opera 14
15015000,Opera 15
15015001,Opera 15
15015006,Opera 15
15016000,Opera 16
15016001,Opera 16
15016006,Opera 16
15017000,Opera 17
15017001,Opera 17
15017006,Opera 17
15018000,Opera 18
15018001,Opera 18
15018006,Opera 18
15019000,Opera 19
15019001,Opera 19
15019006,Opera 19
15020000,Opera 20
15020001,Opera 20
15020006,Opera 20
16000000,Android
16000001,Android
16000003,Android
16001000,Android 1
16001001,Android 1
16001003,Android 1
16002000,Android 2
16002001,Android 2
16002003,Android 2
16003000,Android 3
16003001,Android 3
16003003,Android 3
16004000,Android 4
16004001,Android 4
16004003,Android 4
16005000,Android 5
16005001,Android 5
16005003,Android 5
16006000,Android 6
16006001,Android 6
16006003,Android 6
17000000,Netscape
17001000,Netscape 1
17002000,Netscape 2
17003000,Netscape 3
17004000,Netscape 4
17005000,Netscape 5
17006000,Netscape 6
17007000,Netscape 7
17008000,Netscape 8
17009000,Netscape 9
18000000,Webkit
18000001,Webkit
18000003,Webkit
19000000,Gecko
19000001,Gecko
23010000,Blackberry 10
23010001,Blackberry 10
23010003,Blackberry 10
23011000,Blackberry 11
23011001,Blackberry 11
23011003,Blackberry 11
23012000,Blackberry 12
23012001,Blackberry 12
23012003,Blackberry 12
23013000,Blackberry 13
23013001,Blackberry 13
23013003,Blackberry 13
23014000,Blackberry 14
23014001,Blackberry 14
23014003,Blackberry 14
23015000,Blackberry 15
23015001,Blackberry 15
23015003,Blackberry 15
23016000,Blackberry 16
23016001,Blackberry 16
23016003,Blackberry 16
23017000,Blackberry 17
23017001,Blackberry 17
23017003,Blackberry 17
23018000,Blackberry 18
23018001,Blackberry 18
23018003,Blackberry 18
23019000,Blackberry 19
23019001,Blackberry 19
23019003,Blackberry 19
23020000,Blackberry 20
23020001,Blackberry 20
23020003,Blackberry 20
24001000,Good Access 1
24001001,Good Access 1
24002000,Good Access 2
24002001,Good Access 2
24003000,Good Access 3
24003001,Good Access 3
